account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_eve_minutes,total_night_charge,total_intl_minutes,total_intl_calls,number_customer_service_calls,payment_delay,state_freq_encoded
158,0,0,0,155.9,224.2,9.95,8.6,8,2,0,0.0086274509803921
85,0,0,0,274.7,119.4,13.36,9.4,10,1,0,0.0215686274509803
79,0,0,0,161.1,170.6,12.35,7.6,2,2,0,0.0172549019607843
71,1,0,0,186.1,198.6,9.29,13.8,5,4,1,0.0188235294117647
21,0,1,19,132.7,204.6,6.96,12.9,7,3,0,0.0207843137254901
127,0,0,0,102.8,143.7,8.61,10.0,5,1,0,0.0231372549019607
106,0,0,0,213.9,151.9,11.7,12.2,5,3,0,0.0168627450980392
98,0,1,21,161.2,252.2,7.21,4.4,8,4,0,0.0133333333333333
97,0,0,0,169.7,165.9,8.64,12.8,6,3,0,0.0196078431372549
88,0,0,0,168.8,211.5,3.91,10.5,7,3,0,0.0211764705882352
116,0,0,0,89.5,180.8,8.69,14.0,3,2,0,0.0254901960784313
129,0,0,0,157.0,256.9,8.35,12.1,2,2,0,0.0207843137254901
50,0,0,0,154.7,298.0,9.46,11.1,3,0,0,0.0184313725490196
84,0,0,0,86.0,260.7,4.44,8.9,4,1,0,0.0337254901960784
29,0,0,0,157.4,145.0,12.68,9.3,2,1,0,0.0180392156862745
146,0,0,0,189.3,155.9,8.37,7.4,3,0,0,0.0149019607843137
121,0,0,0,181.5,218.4,7.27,8.5,5,1,0,0.0164705882352941
76,0,1,22,160.1,168.7,1.04,9.5,4,3,0,0.0137254901960784
4,1,0,0,145.3,303.8,9.27,8.9,4,0,0,0.0231372549019607
73,0,0,0,194.8,167.2,4.51,10.8,6,1,0,0.0192156862745098
68,1,1,29,195.5,171.6,9.18,13.5,9,1,1,0.0188235294117647
129,0,0,0,130.2,195.2,8.8,7.6,5,2,0,0.0168627450980392
126,0,0,0,181.7,216.3,14.31,12.4,6,1,0,0.0192156862745098
64,0,1,19,291.1,226.7,9.86,7.5,2,1,0,0.0184313725490196
137,0,0,0,155.5,133.1,11.39,9.1,2,1,0,0.0211764705882352
149,1,1,28,126.9,166.9,6.53,8.8,3,5,1,0.0211764705882352
101,0,0,0,269.7,207.6,9.64,4.5,15,3,1,0.0207843137254901
105,0,0,0,213.4,204.9,8.09,9.5,6,1,0,0.0211764705882352
177,0,0,0,189.5,176.3,10.17,14.2,2,1,0,0.0192156862745098
85,0,0,0,212.3,228.4,7.35,7.7,3,0,0,0.0231372549019607
96,0,0,0,160.2,267.5,10.28,9.3,5,2,0,0.0231372549019607
65,0,1,21,135.1,238.4,12.89,11.0,9,4,0,0.0262745098039215
53,1,0,0,145.0,228.4,7.62,8.9,5,0,0,0.0149019607843137
72,0,0,0,253.0,219.3,9.49,9.8,4,0,0,0.0211764705882352
166,0,0,0,152.1,121.0,8.91,9.8,5,0,0,0.0262745098039215
115,0,0,0,268.0,153.6,10.45,17.0,1,3,0,0.0207843137254901
128,0,1,41,184.8,160.6,7.29,9.8,6,2,0,0.0172549019607843
166,0,0,0,203.4,167.7,5.94,9.2,5,2,0,0.0215686274509803
54,0,1,39,117.6,159.2,10.64,11.3,10,2,0,0.0184313725490196
55,0,1,20,189.3,118.6,11.26,12.5,4,2,0,0.0184313725490196
55,0,0,0,180.1,235.5,7.62,11.1,2,0,0,0.0192156862745098
114,1,1,28,136.4,170.0,8.62,14.6,4,2,1,0.0184313725490196
59,0,0,0,195.0,198.5,13.69,14.8,9,0,0,0.0211764705882352
124,0,0,0,251.5,214.2,8.37,11.1,6,3,0,0.0215686274509803
101,0,1,33,200.1,188.9,9.23,15.5,4,0,0,0.0172549019607843
155,0,0,0,262.4,194.6,6.59,8.3,6,2,0,0.0184313725490196
103,0,0,0,278.4,252.2,9.1,13.7,1,1,1,0.0207843137254901
119,0,1,35,217.1,220.8,11.23,8.0,5,2,0,0.0207843137254901
96,0,1,26,126.5,123.8,13.88,13.1,6,2,0,0.0172549019607843
25,1,0,0,211.7,225.2,8.88,12.0,3,0,0,0.0274509803921568
90,0,0,0,189.1,313.9,10.26,8.2,2,1,0,0.0188235294117647
71,0,0,0,290.4,253.9,11.85,10.1,5,3,1,0.0215686274509803
130,0,0,0,119.4,226.3,9.12,11.3,7,0,0,0.0172549019607843
103,0,1,40,164.5,228.7,8.76,7.4,1,4,0,0.0207843137254901
75,0,0,0,138.5,153.2,9.7,11.1,7,1,0,0.0133333333333333
31,0,1,28,171.8,240.7,11.05,10.6,7,1,0,0.0254901960784313
91,0,0,0,159.0,255.1,3.71,10.1,4,0,0,0.016078431372549
122,0,0,0,265.7,47.3,6.31,8.7,1,3,0,0.0188235294117647
79,0,1,27,192.3,147.3,9.67,7.8,4,1,0,0.0215686274509803
118,0,0,0,154.6,184.2,9.78,12.6,5,2,0,0.0274509803921568
30,0,0,0,137.6,162.0,8.45,5.8,10,3,0,0.0211764705882352
62,0,0,0,147.1,190.4,8.78,12.2,3,0,0,0.0262745098039215
79,0,1,25,219.0,241.9,9.15,5.6,5,4,0,0.0172549019607843
25,0,0,0,178.8,141.2,9.14,8.4,5,2,0,0.0211764705882352
82,0,0,0,266.9,229.7,11.33,11.0,6,3,1,0.0231372549019607
90,0,1,32,194.0,151.7,9.26,9.3,4,1,0,0.0215686274509803
100,1,0,0,219.4,225.7,11.49,12.0,4,4,0,0.0215686274509803
125,0,0,0,113.0,169.2,7.05,9.2,5,2,1,0.0192156862745098
141,0,0,0,215.6,200.6,6.92,12.4,6,1,0,0.0156862745098039
66,0,1,31,163.2,267.9,7.77,9.7,5,1,0,0.0188235294117647
41,0,0,0,232.1,327.1,10.19,10.9,2,3,1,0.0207843137254901
61,0,1,33,270.7,200.7,9.08,10.9,3,3,0,0.0250980392156862
80,0,0,0,148.6,210.8,9.17,10.0,2,2,0,0.0215686274509803
193,0,1,17,124.0,202.9,9.23,12.3,3,1,0,0.0215686274509803
21,0,1,31,135.9,271.0,8.06,9.5,7,6,0,0.0211764705882352
157,0,0,0,152.7,257.5,8.91,9.4,4,1,0,0.0180392156862745
35,0,1,23,194.6,199.8,8.53,10.1,7,4,0,0.0203921568627451
61,0,1,20,254.4,161.7,11.31,10.5,4,0,0,0.0223529411764705
103,0,1,28,121.0,270.4,7.22,7.7,4,2,0,0.0172549019607843
149,0,0,0,237.6,192.4,9.33,9.1,9,0,0,0.0188235294117647
147,1,0,0,183.8,164.7,5.0,10.1,4,1,0,0.0207843137254901
158,0,0,0,205.2,240.6,3.59,14.4,12,0,0,0.0196078431372549
105,0,0,0,206.2,256.4,5.27,9.0,3,1,0,0.0168627450980392
129,1,0,0,192.9,185.5,9.23,10.9,4,1,0,0.0215686274509803
65,0,0,0,195.4,181.2,8.03,8.9,4,0,0,0.0254901960784313
114,0,0,0,209.2,165.3,8.86,10.6,8,3,0,0.0192156862745098
134,0,1,41,162.0,324.7,7.2,11.9,5,0,0,0.0250980392156862
171,0,0,0,262.1,171.6,9.39,5.3,3,0,0,0.0184313725490196
168,0,0,0,160.6,185.2,5.41,9.1,4,1,1,0.0203921568627451
79,0,0,0,144.0,135.8,9.56,13.0,4,1,0,0.0227450980392156
48,0,0,0,247.6,172.3,11.9,7.1,3,1,0,0.0176470588235294
109,0,0,0,195.4,204.9,10.36,14.0,4,0,0,0.0231372549019607
115,0,0,0,135.4,138.8,9.38,5.4,3,1,0,0.016078431372549
90,0,1,31,118.5,257.9,8.38,9.0,6,1,0,0.0156862745098039
95,0,0,0,198.4,235.9,14.65,10.1,3,0,0,0.0211764705882352
72,0,0,0,196.5,158.6,12.12,6.8,3,0,0,0.0184313725490196
63,0,0,0,112.5,211.2,10.24,11.1,8,0,0,0.0149019607843137
96,0,1,26,145.8,192.2,7.43,9.9,2,1,0,0.0231372549019607
159,0,0,0,198.8,195.5,9.6,16.5,7,5,0,0.0207843137254901
123,1,0,0,125.5,128.9,11.34,6.3,6,4,1,0.0215686274509803
78,0,0,0,108.6,209.9,10.02,7.9,5,1,1,0.0215686274509803
74,0,0,0,162.7,292.0,8.25,8.7,6,0,0,0.0211764705882352
131,0,1,34,156.6,71.0,11.78,13.4,10,1,0,0.0215686274509803
51,0,0,0,95.3,189.3,10.74,13.6,4,1,0,0.0192156862745098
131,0,0,0,210.1,177.3,5.86,13.3,1,0,1,0.0168627450980392
80,0,0,0,268.7,301.0,7.52,5.8,1,2,1,0.0211764705882352
60,0,0,0,135.4,205.9,9.18,7.9,4,1,0,0.0168627450980392
67,0,0,0,138.9,208.9,10.46,9.2,3,2,0,0.0274509803921568
115,0,0,0,206.2,176.4,13.37,11.0,7,1,0,0.0168627450980392
113,0,1,23,149.0,235.8,9.08,9.5,5,4,0,0.0274509803921568
136,1,1,22,160.3,273.2,9.14,11.7,2,0,1,0.0211764705882352
88,0,0,0,274.6,161.1,8.75,9.2,4,2,0,0.0207843137254901
67,0,0,0,210.7,219.2,8.09,7.2,6,1,0,0.0196078431372549
112,0,0,0,217.1,205.2,8.36,9.4,3,2,0,0.0156862745098039
35,0,0,0,179.8,176.1,5.97,12.0,5,1,0,0.0337254901960784
117,0,0,0,234.8,211.7,6.61,7.5,3,2,0,0.0262745098039215
163,0,0,0,223.0,227.0,8.47,8.8,5,1,0,0.0168627450980392
124,0,0,0,158.6,211.2,8.07,10.2,8,3,0,0.0192156862745098
90,0,1,30,191.3,257.1,8.0,11.0,1,1,0,0.0192156862745098
143,0,0,0,110.1,169.0,7.5,9.2,2,1,0,0.0274509803921568
158,0,0,0,193.3,208.1,10.26,7.1,9,1,0,0.0149019607843137
159,0,1,19,184.1,194.5,10.15,16.9,3,0,0,0.0192156862745098
93,0,0,0,176.1,199.7,11.88,8.5,6,2,0,0.0145098039215686
96,0,0,0,150.0,218.5,9.56,9.8,1,3,0,0.0211764705882352
134,0,1,40,142.9,88.6,13.05,10.8,6,1,0,0.0196078431372549
115,0,1,33,145.0,194.5,10.9,14.2,3,2,0,0.0149019607843137
57,0,0,0,158.1,115.2,8.21,11.8,7,0,0,0.0192156862745098
123,0,0,0,236.2,273.9,10.22,10.1,6,2,1,0.0262745098039215
77,0,1,29,211.1,223.5,6.68,9.7,9,2,0,0.0231372549019607
95,0,1,22,40.9,133.4,11.89,11.9,7,0,0,0.0211764705882352
128,0,0,0,187.3,270.8,9.29,10.1,5,1,0,0.0184313725490196
84,0,1,33,159.1,149.8,9.6,13.0,18,1,0,0.0192156862745098
126,0,0,0,120.0,213.6,14.08,7.5,6,1,0,0.0184313725490196
100,0,1,38,224.7,294.0,13.05,9.8,6,0,0,0.0211764705882352
116,0,0,0,205.0,140.9,12.27,7.5,4,2,0,0.0207843137254901
73,0,0,0,272.4,252.2,11.49,10.9,5,1,1,0.0188235294117647
138,0,0,0,54.8,147.5,7.81,11.5,1,1,0,0.0262745098039215
192,0,0,0,185.0,224.9,9.56,11.4,3,2,0,0.0184313725490196
120,0,0,0,98.2,186.7,6.6,9.3,4,2,0,0.0172549019607843
113,1,0,0,122.2,131.7,7.63,10.3,9,5,1,0.0207843137254901
21,0,0,0,244.7,168.0,12.67,6.6,1,1,0,0.0254901960784313
80,0,1,22,182.8,229.3,14.12,11.3,2,1,0,0.0133333333333333
149,1,0,0,180.9,194.9,8.9,8.8,9,3,0,0.0207843137254901
115,1,0,0,251.3,252.5,5.32,9.9,1,3,1,0.0184313725490196
96,0,0,0,178.0,294.6,10.9,12.0,6,2,0,0.0231372549019607
43,1,0,0,251.5,212.8,7.1,9.3,4,0,0,0.0262745098039215
143,1,0,0,186.9,196.5,9.69,12.3,3,4,0,0.0211764705882352
97,0,1,15,117.6,196.3,7.08,6.4,3,1,0,0.0211764705882352
119,0,0,0,260.1,256.5,10.31,10.0,2,1,1,0.0156862745098039
86,0,0,0,216.3,266.3,9.63,4.5,3,0,0,0.0203921568627451
100,0,0,0,167.2,141.2,11.31,6.1,6,3,0,0.0215686274509803
39,0,0,0,160.4,102.6,10.59,9.1,5,2,0,0.0254901960784313
139,0,1,20,214.6,235.1,7.33,14.8,12,0,0,0.0250980392156862
87,0,0,0,176.6,221.6,8.34,9.4,1,0,0,0.0176470588235294
45,0,0,0,207.6,152.7,9.8,12.4,13,1,0,0.0149019607843137
123,0,0,0,154.3,183.0,2.43,10.9,8,0,0,0.0274509803921568
135,0,1,28,201.4,246.5,6.97,12.9,4,2,1,0.0211764705882352
167,0,0,0,130.5,80.9,9.97,11.2,5,1,0,0.0168627450980392
124,0,0,0,193.0,89.8,7.78,15.3,3,1,0,0.0207843137254901
131,0,0,0,211.8,260.5,6.49,10.8,7,0,0,0.0211764705882352
174,0,0,0,235.5,142.3,14.25,12.5,5,0,0,0.0149019607843137
171,1,0,0,191.6,181.1,8.79,8.6,3,3,0,0.0215686274509803
100,1,0,0,68.5,337.1,9.23,12.1,9,0,0,0.0172549019607843
62,0,0,0,128.7,169.5,8.71,10.3,5,1,0,0.0337254901960784
106,0,0,0,147.9,209.3,7.29,8.8,5,2,0,0.0149019607843137
72,0,1,21,186.7,335.0,8.42,16.5,4,1,0,0.0211764705882352
158,0,0,0,202.0,163.5,8.79,10.4,6,1,0,0.0164705882352941
92,0,0,0,176.3,93.4,9.32,9.6,1,2,0,0.0207843137254901
99,0,0,0,201.5,124.2,10.8,11.5,3,0,0,0.0231372549019607
169,0,0,0,142.5,231.4,5.9,10.0,4,2,0,0.0184313725490196
71,0,0,0,258.4,126.8,8.21,9.7,8,4,0,0.0172549019607843
104,0,1,18,182.1,213.6,8.69,13.4,9,2,0,0.0184313725490196
156,0,0,0,174.3,186.6,11.62,12.9,5,3,0,0.0254901960784313
114,0,0,0,155.3,169.9,9.32,12.6,5,2,0,0.0156862745098039
42,0,0,0,171.0,183.9,5.86,4.6,6,0,0,0.0137254901960784
121,0,0,0,166.3,138.8,9.69,10.4,10,2,0,0.0211764705882352
68,0,1,22,82.5,289.9,8.1,4.8,4,3,0,0.0192156862745098
112,0,0,0,85.2,153.2,6.42,8.2,4,1,0,0.0137254901960784
225,0,0,0,165.4,273.7,9.45,8.7,3,0,1,0.0250980392156862
81,0,0,0,129.9,230.1,6.32,13.3,3,0,0,0.0231372549019607
77,0,1,33,143.0,212.2,4.72,15.3,4,5,1,0.0254901960784313
75,0,0,0,150.6,301.5,7.14,8.1,5,0,0,0.0207843137254901
64,1,1,33,127.2,162.9,11.13,8.1,13,0,0,0.0184313725490196
66,0,0,0,145.6,250.9,7.05,12.2,7,1,0,0.0274509803921568
56,0,0,0,164.3,233.7,8.43,11.8,1,2,0,0.0192156862745098
101,0,1,42,209.2,159.7,8.17,9.5,3,0,0,0.0203921568627451
104,0,0,0,118.5,177.8,11.51,12.1,4,1,0,0.0192156862745098
124,0,0,0,184.8,175.1,7.12,10.5,6,1,0,0.0337254901960784
118,0,0,0,189.3,233.5,12.19,10.0,1,2,0,0.0274509803921568
90,0,0,0,113.2,189.3,12.23,14.1,4,3,0,0.0172549019607843
115,1,0,0,122.0,220.2,8.09,10.8,2,2,1,0.0262745098039215
93,0,0,0,172.0,219.1,7.64,10.3,3,0,0,0.0262745098039215
109,0,1,29,111.2,263.5,10.11,9.0,6,6,1,0.0207843137254901
57,0,1,25,144.0,187.2,7.14,8.5,6,3,0,0.0254901960784313
98,0,1,31,181.6,220.7,10.63,12.9,4,2,0,0.0149019607843137
58,0,0,0,234.8,106.8,8.03,9.9,6,0,0,0.0176470588235294
65,0,1,23,224.2,189.6,10.03,9.8,4,0,0,0.0156862745098039
52,0,0,0,191.9,269.8,10.66,7.8,5,3,0,0.0133333333333333
96,0,1,21,247.6,256.3,7.14,10.8,6,2,0,0.0207843137254901
92,0,1,29,201.3,203.7,5.85,6.4,6,1,1,0.0231372549019607
62,0,0,0,186.8,207.6,8.78,8.8,4,3,0,0.0164705882352941
40,1,0,0,170.7,179.1,12.69,8.2,9,3,0,0.0262745098039215
69,0,0,0,167.5,242.1,4.55,11.4,4,2,0,0.0211764705882352
144,0,0,0,139.6,124.2,4.3,15.0,4,2,0,0.0231372549019607
38,0,0,0,149.0,49.2,7.35,13.9,11,0,0,0.0227450980392156
102,0,0,0,158.0,207.9,8.57,10.1,10,0,0,0.0196078431372549
46,0,0,0,257.4,261.1,9.2,13.4,5,2,1,0.0211764705882352
76,0,0,0,208.5,173.0,9.95,9.8,3,0,0,0.0215686274509803
67,0,1,40,104.9,216.3,9.78,9.6,9,1,0,0.0184313725490196
100,0,0,0,179.1,196.6,8.4,10.2,10,1,0,0.0231372549019607
42,0,0,0,303.9,232.2,6.62,5.8,3,1,1,0.0176470588235294
92,1,0,0,255.8,142.7,8.15,11.7,3,0,0,0.0156862745098039
117,1,0,0,158.1,315.1,7.92,13.9,2,3,1,0.0192156862745098
103,0,0,0,107.9,166.9,9.38,9.7,3,1,0,0.0207843137254901
93,0,1,37,230.4,155.5,8.06,10.4,9,3,0,0.0215686274509803
141,0,0,0,301.4,269.2,6.69,14.4,5,0,1,0.0262745098039215
28,0,0,0,187.8,248.6,9.4,10.6,5,0,0,0.0262745098039215
104,0,0,0,264.0,132.2,8.0,10.6,8,3,0,0.0254901960784313
141,1,1,37,258.6,222.0,14.69,11.2,5,0,0,0.0337254901960784
90,0,0,0,109.9,220.8,4.68,10.9,6,0,0,0.0184313725490196
91,0,1,27,204.6,136.0,9.47,6.6,2,3,0,0.0207843137254901
136,0,0,0,92.0,253.6,9.63,10.3,10,1,0,0.0196078431372549
87,1,0,0,128.9,281.9,9.41,9.9,4,0,0,0.0149019607843137
120,0,0,0,169.0,111.1,5.34,12.2,3,3,0,0.0262745098039215
28,0,0,0,236.8,167.1,12.61,9.7,3,3,0,0.0188235294117647
112,0,0,0,158.1,181.5,9.01,8.3,7,1,0,0.0180392156862745
146,0,1,23,149.6,239.8,13.21,7.4,4,2,0,0.0211764705882352
102,0,1,25,137.4,176.7,8.47,10.2,6,2,0,0.0211764705882352
190,0,0,0,169.4,253.5,8.87,8.9,5,1,0,0.0192156862745098
79,0,0,0,187.3,177.1,12.11,9.5,3,3,0,0.0207843137254901
99,0,0,0,190.4,158.1,12.22,11.2,4,2,0,0.0231372549019607
131,0,0,0,131.6,179.3,11.3,15.5,3,1,1,0.0215686274509803
107,0,0,0,156.3,215.3,5.32,8.8,2,1,0,0.0211764705882352
50,0,0,0,258.1,161.4,10.13,11.7,5,1,0,0.0231372549019607
119,0,0,0,107.2,221.1,9.57,8.3,3,2,0,0.0227450980392156
63,0,0,0,261.8,245.0,9.09,14.7,4,0,1,0.0337254901960784
44,0,1,34,221.8,161.7,10.25,14.0,7,0,0,0.0188235294117647
127,0,1,24,154.8,177.2,9.34,9.0,4,1,0,0.0192156862745098
95,0,1,35,229.1,148.2,11.18,3.9,3,0,0,0.0231372549019607
66,0,0,0,192.4,187.0,5.98,11.2,1,0,0,0.0231372549019607
63,0,0,0,142.5,208.3,10.3,7.5,2,2,0,0.0215686274509803
124,0,0,0,157.4,167.8,8.5,8.8,3,3,0,0.0337254901960784
56,0,1,37,153.7,271.4,8.06,8.3,2,1,0,0.0192156862745098
104,0,0,0,167.6,219.2,9.72,11.7,2,4,0,0.0196078431372549
133,0,0,0,171.8,177.1,10.04,10.3,4,1,0,0.0274509803921568
116,0,0,0,129.4,157.3,9.7,13.3,3,0,0,0.0215686274509803
149,0,0,0,119.2,168.3,9.21,12.2,6,4,1,0.0184313725490196
87,0,0,0,238.0,164.5,12.71,10.6,6,2,0,0.0211764705882352
86,0,1,16,145.7,191.0,9.7,11.3,7,0,0,0.0207843137254901
140,0,0,0,187.1,158.0,9.51,8.5,2,2,0,0.0192156862745098
105,0,0,0,193.2,260.3,10.19,7.8,2,1,0,0.0172549019607843
92,0,0,0,91.7,193.7,7.88,9.2,4,2,0,0.0227450980392156
102,0,0,0,271.1,172.0,7.61,10.3,5,1,0,0.0168627450980392
79,0,1,32,50.6,201.4,6.61,4.2,4,2,0,0.0262745098039215
126,0,0,0,193.1,75.5,8.38,11.1,1,3,0,0.0250980392156862
201,0,0,0,212.7,225.2,8.78,7.0,6,1,0,0.0231372549019607
124,0,0,0,254.3,78.9,6.89,11.8,2,2,0,0.0184313725490196
125,0,0,0,140.1,209.6,11.88,8.0,2,1,0,0.0262745098039215
121,0,1,22,212.3,238.0,14.98,10.4,2,1,0,0.0192156862745098
131,0,0,0,227.7,162.7,12.57,8.9,7,4,0,0.0184313725490196
88,1,0,0,235.1,251.8,12.87,7.2,2,4,1,0.0168627450980392
106,0,0,0,273.8,149.3,8.73,11.2,3,0,0,0.0196078431372549
125,0,0,0,126.7,155.5,9.28,14.4,7,2,0,0.0215686274509803
127,0,0,0,155.8,103.7,5.27,8.6,3,2,0,0.0211764705882352
135,0,0,0,129.4,199.0,6.41,12.3,4,1,0,0.0184313725490196
121,0,1,26,170.4,254.5,9.88,15.1,5,0,0,0.0168627450980392
18,0,0,0,273.6,114.6,11.28,8.2,4,1,0,0.0168627450980392
91,0,1,37,162.3,233.9,12.48,9.2,4,0,0,0.016078431372549
59,0,0,0,179.4,232.5,7.91,14.7,3,0,0,0.0192156862745098
116,0,0,0,51.1,208.6,8.91,12.3,3,1,0,0.0149019607843137
145,0,0,0,129.4,185.4,9.21,1.1,2,2,0,0.0337254901960784
90,0,0,0,207.2,292.5,10.18,8.0,1,2,0,0.0262745098039215
112,0,1,22,244.7,203.1,9.99,7.4,6,0,0,0.0211764705882352
126,0,0,0,103.7,127.0,14.82,14.4,1,0,0,0.0184313725490196
57,0,1,26,138.7,134.5,11.78,13.0,5,2,0,0.0207843137254901
155,0,0,0,163.0,203.9,7.15,15.1,4,2,0,0.0215686274509803
162,0,0,0,221.9,112.7,7.94,10.7,6,1,0,0.0262745098039215
74,0,0,0,156.3,273.1,9.71,9.0,4,3,0,0.0133333333333333
15,1,0,0,141.4,123.9,14.56,8.1,3,2,0,0.0254901960784313
124,0,0,0,312.0,180.0,7.59,12.8,4,1,1,0.0337254901960784
190,1,0,0,111.9,223.0,10.94,10.0,7,3,0,0.0215686274509803
131,0,0,0,166.5,210.2,11.57,9.9,5,1,0,0.0168627450980392
150,0,0,0,214.0,192.4,10.92,7.9,4,1,0,0.0149019607843137
62,0,0,0,238.9,161.4,11.18,13.4,4,0,0,0.0262745098039215
107,0,1,31,160.3,221.5,11.77,5.6,1,1,0,0.0262745098039215
121,0,0,0,215.6,192.9,6.48,10.1,4,5,0,0.0176470588235294
85,0,0,0,234.5,237.3,5.52,12.9,3,4,0,0.0262745098039215
83,0,0,0,188.3,243.8,9.62,10.3,6,0,0,0.0211764705882352
92,1,0,0,183.6,149.7,6.08,11.8,4,0,0,0.0211764705882352
82,0,0,0,200.3,201.2,9.27,7.1,1,4,0,0.0227450980392156
126,0,0,0,284.0,199.7,9.15,6.6,2,1,1,0.0196078431372549
119,0,0,0,130.5,249.5,9.9,12.7,1,3,0,0.0168627450980392
70,0,0,0,213.4,204.7,11.55,5.7,4,1,0,0.016078431372549
103,0,1,29,211.6,237.9,9.42,14.0,7,2,0,0.0250980392156862
51,0,0,0,214.8,149.7,12.75,10.2,5,0,0,0.0203921568627451
120,0,1,40,128.1,247.7,8.99,15.6,3,0,0,0.0168627450980392
87,0,0,0,234.8,140.9,9.19,9.5,5,1,0,0.0203921568627451
129,0,0,0,150.0,232.4,11.75,12.5,6,1,0,0.0176470588235294
130,0,0,0,140.9,217.5,5.56,13.6,4,3,0,0.0231372549019607
124,0,0,0,234.4,179.3,12.85,10.4,6,3,0,0.0176470588235294
92,0,0,0,201.9,226.8,9.79,13.7,6,3,0,0.0176470588235294
108,0,1,35,215.9,200.6,8.79,15.5,7,0,0,0.0172549019607843
117,0,1,17,221.3,167.6,11.82,4.4,4,0,0,0.0211764705882352
81,0,1,46,168.3,270.9,10.01,6.7,2,4,0,0.0203921568627451
57,0,1,30,179.2,283.2,10.26,14.7,5,1,0,0.0188235294117647
116,0,1,35,182.8,212.7,8.72,11.0,2,1,0,0.0211764705882352
108,0,0,0,246.2,202.4,8.1,9.4,5,1,0,0.0188235294117647
47,0,0,0,111.3,109.4,5.26,10.8,8,1,0,0.0168627450980392
90,0,0,0,102.0,113.3,8.49,11.4,3,2,0,0.0274509803921568
63,0,1,25,230.3,165.6,10.25,9.0,2,1,0,0.0168627450980392
141,0,0,0,208.5,190.3,6.51,12.0,9,1,0,0.0192156862745098
69,0,1,37,155.0,142.4,6.47,5.9,4,1,0,0.0164705882352941
87,0,0,0,156.0,160.5,9.3,7.1,3,4,1,0.0149019607843137
143,0,0,0,168.6,176.3,12.7,13.3,10,1,0,0.0254901960784313
72,0,0,0,141.9,188.1,5.18,12.0,5,2,0,0.0215686274509803
130,0,0,0,252.0,170.2,9.41,5.7,5,0,0,0.0227450980392156
90,0,1,30,183.8,229.7,6.48,7.7,3,1,0,0.0184313725490196
74,0,1,38,176.0,288.2,8.02,14.8,5,2,0,0.0176470588235294
132,0,0,0,169.9,209.4,9.27,11.5,2,1,0,0.0207843137254901
121,0,0,0,123.6,229.4,10.93,10.3,4,0,0,0.0207843137254901
116,0,1,24,183.6,203.8,7.51,6.0,3,2,0,0.0184313725490196
85,0,0,0,127.9,271.2,9.1,12.5,5,0,0,0.0223529411764705
98,0,0,0,126.3,166.8,8.45,9.4,2,3,0,0.0172549019607843
75,0,1,27,117.5,206.8,8.75,4.2,7,3,0,0.0207843137254901
151,1,0,0,218.0,114.4,12.11,12.4,1,0,1,0.0086274509803921
141,0,1,33,168.4,185.1,9.9,11.0,4,2,0,0.0211764705882352
54,0,0,0,210.5,204.5,5.75,8.5,5,1,0,0.0184313725490196
104,0,0,0,144.5,180.5,10.17,17.0,6,2,0,0.0156862745098039
64,0,0,0,148.1,164.9,9.72,12.3,2,5,1,0.0176470588235294
137,0,0,0,215.9,145.4,8.41,12.1,4,1,0,0.0156862745098039
81,0,0,0,220.8,148.5,8.28,7.6,3,2,0,0.0215686274509803
98,1,0,0,12.5,256.6,7.62,7.7,9,1,0,0.0211764705882352
100,0,0,0,235.8,176.0,2.86,7.3,1,2,0,0.0211764705882352
106,0,0,0,119.2,228.4,8.91,8.4,9,2,0,0.0168627450980392
27,0,0,0,227.4,248.0,2.76,7.8,6,1,0,0.0192156862745098
67,0,0,0,109.1,142.3,4.1,10.9,5,2,0,0.0211764705882352
143,0,0,0,223.3,167.1,9.14,4.5,4,0,1,0.0207843137254901
153,0,0,0,166.8,143.5,9.48,11.8,4,0,0,0.0164705882352941
159,0,0,0,181.0,188.4,7.91,9.9,4,7,0,0.0337254901960784
86,0,0,0,124.1,202.6,13.03,6.7,8,3,0,0.0172549019607843
117,0,0,0,214.4,138.0,6.69,9.9,1,2,0,0.0184313725490196
39,0,0,0,189.6,251.6,10.39,5.4,8,3,0,0.0168627450980392
98,0,0,0,136.9,180.6,7.78,11.9,4,4,1,0.0254901960784313
80,0,0,0,198.1,156.7,8.19,9.3,3,3,0,0.0211764705882352
127,1,0,0,256.5,222.1,7.05,13.0,3,1,0,0.0207843137254901
107,0,0,0,220.1,200.4,12.27,7.4,5,2,0,0.0215686274509803
186,0,0,0,206.8,286.0,6.93,12.4,6,0,0,0.0211764705882352
134,0,0,0,208.3,253.6,13.1,12.6,3,1,0,0.0180392156862745
99,0,0,0,62.9,231.0,7.6,8.5,5,1,0,0.0149019607843137
106,0,0,0,165.1,290.2,11.26,8.1,2,0,0,0.0274509803921568
105,0,1,29,179.4,275.4,11.07,10.0,5,0,0,0.0250980392156862
110,1,0,0,135.1,227.3,7.92,13.2,4,1,1,0.0184313725490196
27,0,0,0,193.8,118.9,6.12,9.2,3,0,0,0.0211764705882352
119,0,0,0,133.4,204.6,8.86,11.1,7,1,0,0.0254901960784313
137,0,0,0,203.1,132.0,11.29,9.2,4,4,0,0.0231372549019607
122,0,0,0,107.9,235.8,10.29,9.5,3,2,0,0.0262745098039215
